number_rooms,living_area,garden_area,number_facades,Longitude,Latitude
1,167,18,3,4.374037,50.818662
2,156,0,1,4.37306,50.818894
3,103,23,3,4.357694,50.867992
3,184,16,2,4.386923,50.805948
3,92,3,2,4.383425,50.811412
3,87,11,2,4.384743,50.841302
2,97,31,1,4.389603,50.845095
1,115,0,1,4.385537,50.843278
3,89,22,2,4.37252,50.814365
1,138,48,3,4.375671,50.81123
3,153,43,3,4.373287,50.806403
3,165,18,3,4.385543,50.84928
3,174,8,1,4.395778,50.842849
3,105,14,3,4.374258,50.805439
1,172,26,3,4.391795,50.798393
1,195,46,2,4.394252,50.800526
2,150,38,2,4.38559,50.841441
3,81,5,1,4.361659,50.870808
2,116,22,1,4.390211,50.843535
1,166,1,2,4.35626,50.835913
2,192,3,3,4.353866,50.862035
1,98,36,1,4.384481,50.809894
2,84,31,2,4.394365,50.800496
2,99,21,2,4.388285,50.804057
2,189,46,2,4.367433,50.842471
3,129,44,3,4.368119,50.843768
3,121,25,3,4.400072,50.797321
3,93,23,3,4.378484,50.814505
3,164,7,3,4.385508,50.808973
1,113,46,2,4.386384,50.807369
1,106,10,2,4.343391,50.840785
3,160,9,3,4.387889,50.884499
2,90,8,3,4.387462,50.801779
1,198,47,3,4.391768,50.800984
2,124,2,2,4.377391,50.815858
2,165,45,1,4.387794,50.804974
1,111,44,3,4.380192,50.837282
1,106,12,3,4.397672,50.798825
1,117,22,3,4.352311,50.867397
3,82,15,3,4.390782,50.80155
2,193,0,1,4.3769,50.804019
3,179,31,3,4.373753,50.817053
1,135,21,2,4.376069,50.816929
2,129,32,1,4.3863,50.806212
2,133,42,1,4.378452,50.813964
1,125,27,3,4.371256,50.815489
3,140,26,3,4.3776,50.845045
3,131,33,3,4.374581,50.815085
1,128,7,1,4.366143,50.824514
3,152,32,2,4.364005,50.839279
2,143,1,3,4.374037,50.818662
3,97,46,2,4.37306,50.818894
2,158,34,3,4.357694,50.867992
2,135,45,1,4.386923,50.805948
1,122,29,2,4.383425,50.811412
3,176,34,3,4.384743,50.841302
1,193,9,1,4.389603,50.845095
2,129,45,3,4.385537,50.843278
2,128,35,2,4.37252,50.814365
3,169,3,2,4.375671,50.81123
1,197,41,1,4.373287,50.806403
3,103,25,3,4.385543,50.84928
3,177,9,3,4.395778,50.842849
3,82,24,1,4.374258,50.805439
3,186,24,2,4.391795,50.798393
1,181,31,3,4.394252,50.800526
3,128,31,2,4.38559,50.841441
3,150,24,2,4.361659,50.870808
3,181,6,2,4.390211,50.843535
2,192,16,1,4.35626,50.835913
2,103,48,1,4.353866,50.862035
3,180,19,3,4.384481,50.809894
3,170,48,1,4.394365,50.800496
2,151,12,3,4.388285,50.804057
2,192,16,1,4.367433,50.842471
2,159,13,1,4.368119,50.843768
2,186,33,2,4.400072,50.797321
3,154,8,1,4.378484,50.814505
1,98,37,1,4.385508,50.808973
3,181,27,3,4.386384,50.807369
3,156,5,2,4.343391,50.840785
1,154,29,3,4.387889,50.884499
1,121,3,2,4.387462,50.801779
3,136,10,2,4.391768,50.800984
3,135,46,2,4.377391,50.815858
1,164,13,1,4.387794,50.804974
3,81,44,3,4.380192,50.837282
2,112,14,2,4.397672,50.798825
1,143,20,2,4.352311,50.867397
3,181,47,3,4.390782,50.80155
3,163,9,3,4.3769,50.804019
1,134,38,3,4.373753,50.817053
1,151,0,1,4.376069,50.816929
2,184,25,3,4.3863,50.806212
2,102,44,2,4.378452,50.813964
2,186,7,3,4.371256,50.815489
1,110,0,2,4.3776,50.845045
3,96,6,1,4.374581,50.815085
2,96,30,1,4.366143,50.824514
3,170,12,1,4.364005,50.839279
